"offer","brand","description","category","activated_date","expiration_date","url"
"25¢ OFF","CHARMIN®","ONE Charmin® Essentials Soft or Essentials Strong 4 ct or larger (excludes trial/travel size)","Household > Paper/Plastic Products > Bathroom Tissue","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","Gerber®","on any FOUR (4) Gerber® Snacks","Baby & Toddler > Baby Food > Baby Food","2018-02-01T00:01:00-0800","2018-03-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$5.00 OFF","Soothe®","OFF ANY TWO (2) Soothe® products","Personal Care > Eye Care > Eye Care","2018-03-18T00:01:00-0700","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","COTTONELLE®","on any ONE (1) COTTONELLE® Toilet Paper (6-pack or larger)","Household > Paper/Plastic Products > Bathroom Tissue","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","M&M'S®, DOVE®, SNICKERS®, TWIX®","on any 2 Easter M&M’S, DOVE Chocolate, SNICKERS, TWIX, minis & Variety Bags (3.5 oz or larger)","Foods > Confections > Chocolate","2018-03-14T00:01:00-0700","2018-04-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $2.00","Eucerin®","On any* ONE (1) Eucerin® Body Product (8 oz. or larger) or Eucerin® Baby Product *excludes trial sizes","Personal Care > Skin Care > Hand & Body Lotion","2018-03-11T00:01:00-0800","2018-04-01T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $0.75","TUMS®","on any ONE (1) TUMS® 28 count or larger","Health Care > Antacids/Acid Blocker > Antacids: Adult","2018-03-11T00:01:00-0800","2018-04-25T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.50 off","Clorox 2®","any one (1) Clorox 2® Product (excluding pen)","Household > Laundry/Fabric Care > Fabric Care","2018-03-18T00:01:00-0700","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","José Olé®","on ONE (1) José Olé® Taquitos or Snacks (16 oz. or larger)","Foods > Dinners/Entrees/ Appetizers > Appetizers","2018-03-09T00:01:00-0800","2018-05-15T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.25 off","Clorox® Manual Toilet Bowl Cleaner","on any ONE (1) Clorox® Manual Toilet Bowl Cleaner.","Household > Household Cleaners/ Supplies > Bowl Cleaners","2018-03-18T00:01:00-0700","2018-05-18T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00 ON ONE","Cascadian Farm™","when you buy ONE BOX any flavor/variety Cascadian Farm™ Sweet & Salty Granola Bars listed: Peanut Pretzel • Mixed Nut ...","Foods > Snacks > Nutritional Snacks","2018-03-01T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.75","Breathe Right®","on any ONE (1) Breathe Right® Nasal Strips Product 26 count or larger","Health Care > Sleeping Aids > Sleeping Aids","2018-03-04T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save 55¢","Meow Mix®","on any TWO (2) Meow Mix® Simple Servings® 2-packs","Pet Care > Cat Food > Canned","2018-03-15T00:01:00-0700","2018-05-31T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$6.00 OFF","COVERGIRL","TWO (2) COVERGIRL Products (excludes 1-kit shadows, Cheekers, accessories and trial/travel size)","Personal Care > Cosmetics > Foundation/Make-Up","2018-03-13T00:01:00-0700","2018-04-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $1.00","UNCLE BEN'S®","on any TWO (2) UNCLE BEN’S® Flavored Grains Rice Products","Foods > Dinners/Side Dishes Mixes > Dry Side Dishes","2018-03-11T00:01:00-0800","2018-05-02T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$3.00 Off","Carol's Daughter","on any ONE (1) Carol's Daughter Hair Care or Body Care Product (excludes all 2.0 oz trial sizes)","Personal Care > Hair Care > Women","2018-01-12T00:01:00-0800","2018-04-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
