"offer","brand","description","activated_date","expiration_date","url"
"Buy One Get One","COVERGIRL","Buy One (1) COVERGIRL Product Get One (1) FREE (up to $9.99) (excludes Cheekers, 1-kit shadows, accessories and travel/trial)","2018-03-06T00:01:00-0800","2018-03-26T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"SAVE $1.00","Irish Spring®","On any ONE Irish Spring® Body Wash (excludes Trial or Travel size)","2018-03-09T00:01:00-0800","2018-04-16T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$2.00 OFF","Garnier®","on ANY ONE (1) Garnier® Shampoo, Conditioner or Treatment (excluding 2 oz, 2.9 oz,3 oz, travel size and Wonder Mask)","2018-03-04T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","SCOTT®","on ONE (1) package of SCOTT® Bath Tissue 6 rolls or larger","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"GET $2.00 OFF","HUGGIES®","any ONE (1) package of HUGGIES® Diapers (Not valid on 9 ct. or less)","2018-03-01T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"GET $0.50 OFF","HUGGIES®","any ONE (1) package of HUGGIES® Wipes (48 ct. or higher)","2018-03-01T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.50 OFF","Lysol®","any ONE (1) Lysol® Toilet Bowl Cleaner","2018-03-04T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"Save $0.75","COTTONELLE®","on any ONE (1) COTTONELLE® Toilet Paper (6-pack or larger)","2018-03-01T00:01:00-0800","2018-04-07T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$1.00 OFF","Cooked Perfect®","on any ONE (1) bag of Cooked Perfect® Meatballs","2018-03-09T00:01:00-0800","2018-06-30T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
"$0.50 OFF","Lysol®","any ONE (1) Lysol® Disinfecting Wipes (35 ct or larger)","2018-03-04T00:01:00-0800","2018-04-14T23:59:00-0700","https://www.coupons.com/coupons/?pid=19251&nid=10&zid=vz89"
